season,player_name,position,height,weight,age,forty,bench,vertical,injury,injury_index,position_index,prev_knee,prev_ankle,prev_hamstring,prev_shoulder,prev_foot,prev_concussion,prev_groin,prev_back,prev_calf,prev_hip,prev_neck,prev_toe,prev_quadricep,prev_elbow,prev_hand,prev_rib,prev_wrist,prev_thumb,prev_abdomen,prev_head,prev_finger,prev_achilles,prev_shin,prev_pectoral,prev_forearm,prev_heel,prev_biceps,prev_fibula
2020,A.J. Brown,WR,72.0,226.0,23.0,4.49,19.0,36.5,knee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,A.J. Brown,WR,72.0,226.0,23.0,4.49,19.0,36.5,knee,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,A.J. Brown,WR,72.0,226.0,23.0,4.49,19.0,36.5,knee,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,A.J. Brown,WR,73.0,226.0,24.0,4.49,19.0,36.5,hamstring,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,A.J. Brown,WR,73.0,226.0,24.0,4.49,19.0,36.5,knee,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,A.J. Brown,WR,73.0,226.0,26.0,4.49,19.0,36.5,knee,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,A.J. Brown,WR,73.0,226.0,27.0,4.49,19.0,36.5,hamstring,2,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,A.J. Brown,WR,73.0,226.0,27.0,4.49,19.0,36.5,hamstring,2,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,A.J. Brown,WR,73.0,226.0,27.0,4.49,19.0,36.5,hamstring,2,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,A.J. Brown,WR,73.0,226.0,27.0,4.49,19.0,36.5,knee,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
